Company,"Primary Industry, Country"
China Petroleum & Chemical Corp. Inc.,"EV, China"
Exxon Mobil Corp.,"EV, United States"
Royal Dutch Shell PLC,My company is in Solar energy sector based in China
Oil & Natural Gas Corp. Ltd.,sector is Solar energy in India
Toyota Motor Corp.,"Motor Vehicles, Japan"
Apple Inc.,"Computers & Other Electronic Products, United States"
BP PLC,"Petroleum & Coal Products, United Kingdom"
Samsung Electronics Co. Ltd.,"Computers & Other Electronic Products, Korea"
PetroChina Co. Ltd.,"Petroleum & Coal Products, China"
Glencore PLC,"Primary Metals, Switzerland"
Daimler AG,"Motor Vehicles, Germany"
Ford Motor Co.,"Motor Vehicles, United States"
TOTAL SA,"Petroleum & Coal Products, France"
General Motors Co.,"Motor Vehicles, United States"
Volkswagen AG,"Motor Vehicles, Germany"
Chevron Corp.,"Petroleum & Coal Products, United States"
Hon Hai Precision Industry Co. Ltd.,"Computers & Other Electronic Products, Taiwan Province of China"
Honda Motor Co. Ltd.,"Motor Vehicles, Japan"
E.ON SE,"Miscellaneous, Germany"
Fiat Chrysler Automobiles NV,"Motor Vehicles, United Kingdom"
General Electric Co.,"Electrical Equipment & Appliances, United States"
Mahindra & Mahindra Ltd.,"Motor Vehicles, India"
Nissan Motor Co. Ltd.,"Motor Vehicles, Japan"
Bayerische Motoren Werke AG,"Motor Vehicles, Germany"
Phillips 66,"Petroleum & Coal Products, United States"
HP Inc.,"Computers & Other Electronic Products, United States"
SAIC Motor Co. Ltd.,"Motor Vehicles, China"
Petroleo Brasileiro SA-Petrobras,"Petroleum & Coal Products, Brazil"
Boeing Co.,"Aerospace & Defense, United States"
Nestl,"Food, Switzerland"
Microsoft Corp.,"Computers & Other Electronic Products, United States"
Valero Energy Corp.,"Petroleum & Coal Products, United States"
Hitachi Ltd.,"Computers & Other Electronic Products, Japan"
Siemens AG,"Computers & Other Electronic Products, Germany"
Gazprom OAO,"Petroleum & Coal Products, Russian Federation"
Hyundai Motor Co. Ltd.,"Motor Vehicles, Korea"
BASF SE,"Chemicals, Germany"
Lukoil Oil Co.,"Petroleum & Coal Products, Russian Federation"
ENI SpA,"Petroleum & Coal Products, Italy"
IBM Corp.,"Computers & Other Electronic Products, United States"
Philip Morris International Inc.,"Tobacco, United States"
JX Holdings Inc.,"Petroleum & Coal Products, Japan"
Airbus Group SE,"Aerospace & Defense, Netherlands"
Marathon Petroleum Corp.,"Petroleum & Coal Products, United States"
Rosneft Oil Co OJSC,"Petroleum & Coal Products, Russian Federation"
Johnson & Johnson,"Pharmaceuticals, United States"
Archer-Daniels-Midland Co.,"Food, United States"
Sony Corp.,"Computers & Other Electronic Products, Japan"
Audi AG,"Motor Vehicles, Germany"
Indian Oil Corp. Ltd.,"Petroleum & Coal Products, India"
Arcelor Mittal SA,"Primary Metals, Luxembourg"
Panasonic Corp.,"Computers & Other Electronic Products, Japan"
Peugeot SA,"Motor Vehicles, France"
Unilever Group,"Food, United Kingdom"
PTT Public Co. Ltd.,"Petroleum & Coal Products, Thailand"
Procter & Gamble Co.,"Chemicals, United States"
United Technologies Corp.,"Aerospace & Defense, United States"
Intel Corp.,"Computers & Other Electronic Products, United States"
PepsiCo Inc.,"Beverages, United States"
Statoil ASA,"Petroleum & Coal Products, Norway"
Roche Holding Ltd.,"Pharmaceuticals, Switzerland"
RWE AG,"Petroleum & Coal Products, Germany"
Bayer AG,"Chemicals, Germany"
Novartis AG,"Pharmaceuticals, Switzerland"
Renault SA,"Motor Vehicles, France"
Cisco Systems Inc.,"Computers & Other Electronic Products, United States"
POSCO,"Primary Metals, Korea"
Toshiba Corp.,"Computers & Other Electronic Products, Japan"
Pfizer Inc.,"Pharmaceuticals, United States"
LG Electronics Inc.,"Computers & Other Electronic Products, Korea"
Caterpillar Inc.,"Machinery, United States"
Dow Chemical Co.,"Chemicals, United States"
BHP Billiton Ltd.,"Primary Metals, Australia"
Lockheed Martin Corp.,"Aerospace & Defense, United States"
Wesfarmers Ltd.,"Chemicals, Australia"
Lenovo Group Ltd.,"Computers & Other Electronic Products, Hong Kong Special Administrative Region of China"
ThyssenKrupp AG,"Primary Metals, Germany"
Anheuser-Busch Inbev SA,"Beverages, Belgium"
